x [nm]	y [nm]
-54.96	-4.77
-56.37	-3.88
-56.90	-1.16
-54.07	-1.49
-51.10	-6.92
-49.87	-1.30
-47.70	-0.63
-52.53	-7.79
-44.77	-2.81
-52.27	-5.55
-56.97	-2.76
-59.20	-5.05
-55.93	4.20
-52.93	-8.79
-54.17	-2.75
-57.30	-2.94
-53.57	1.07
-50.63	-10.60
-59.57	-1.34
-60.83	1.29
-56.37	-4.40
-55.50	-2.80
-51.60	-2.00
-57.57	-1.31
-57.93	-5.58
-60.20	-4.45
-50.37	-3.16
-50.83	7.10
-61.53	1.34
-56.43	-1.25
-56.00	0.57
-54.93	-7.52
-52.77	-3.38
-57.40	-4.74
-55.57	-2.97
-58.13	-3.85
-54.03	-11.12
-54.23	-8.77
-46.17	-6.47
-56.20	7.74
-51.40	-1.70
-58.30	-4.41
-56.40	-0.77
-52.30	-6.29
-56.17	-3.18
-58.43	5.22
-63.87	4.71
-52.77	7.92
-59.43	-6.56
-62.07	-11.59
-59.33	0.96
-60.53	2.12
-55.73	-7.16
-57.00	-5.97
-65.27	-2.88
-52.27	1.22
-49.43	2.45
-61.60	-1.36
-57.17	-1.16
-55.03	4.62
-55.93	1.94
-58.43	1.89
-58.90	2.11
-70.33	5.83
-62.17	4.28
-60.96	3.36
-62.90	2.86
-60.93	3.77
-54.83	3.05
-61.00	-5.83
-59.43	6.95
-54.20	-0.58
-55.70	2.85
-57.43	1.98
-60.13	4.23
-60.13	7.60
-62.87	5.02
-62.03	5.52
-57.60	6.95
-61.80	8.77
-58.13	6.85
-64.70	13.91
-53.63	7.90
-55.53	9.39
-55.57	3.85
-59.37	15.19
-57.43	11.77
-56.90	3.30
-51.03	11.90
-61.70	6.31
-50.46	9.55
-60.03	7.37
-62.83	14.66
-55.00	11.47
-57.03	7.22
-55.07	10.85
-58.43	11.62
-56.46	3.70
-54.00	11.02
-61.33	11.45
-62.23	13.88
-63.20	4.92
-57.77	9.45
-54.27	9.53
-63.00	11.78
-62.00	7.90
-51.36	6.54
-62.43	14.39
-56.93	12.26
-55.30	2.43
-59.67	6.09
-64.23	16.72
-62.13	9.31
-57.40	1.26
-60.93	1.99
-62.33	5.12
-60.96	8.23
-54.20	2.15
-53.13	5.22
-51.50	5.99
-59.73	4.41
-63.90	-1.82
-57.63	4.64
-59.40	11.26
-64.80	10.92
-61.96	9.34
-50.33	8.53
-60.53	5.35
-62.67	8.68
-59.33	10.35
-57.73	5.64
-59.63	12.83
-61.87	8.41
-62.90	5.28
-59.63	3.62
-61.67	12.50
-64.60	4.46
-62.90	8.36
-61.00	-3.14
-62.50	3.73
-60.27	1.39
-58.40	7.67
-58.96	6.70
-59.20	7.17
-62.87	5.77
-58.87	2.64
-53.90	6.43
-62.00	7.85
-60.00	11.84
-63.63	7.11
-60.33	7.49
-55.43	1.78
-56.83	12.34
-65.10	13.77
-59.20	5.73
-59.60	9.52
-54.80	4.28
-61.63	8.72
-62.17	6.64
-63.07	7.91
-64.20	7.54
-68.93	0.84
-61.50	6.78
-64.43	8.64
-61.33	13.50
-64.57	16.74
-62.93	4.21
-61.83	9.71
-61.40	1.31
-62.90	4.97
-62.10	8.73
-62.53	5.62
-58.77	-3.30
-50.10	5.00
-57.53	9.96
-57.63	12.43
-63.13	6.31
-70.46	6.57
-53.60	11.60
-57.93	9.38
-65.40	12.77
-66.23	16.06
-62.60	2.74
-55.30	3.55
-55.87	7.51
-57.87	13.38
-58.40	6.18
-64.20	5.45
-58.80	4.69
-57.83	7.79
-59.43	0.17
-56.13	13.79
-59.17	7.82
-63.53	2.06
-60.47	14.98
-60.47	14.83
-51.93	11.52
-63.23	13.08
-58.90	5.97
-60.97	13.85
-58.20	9.83
-58.00	10.86
-57.00	5.43
-57.03	6.87
-58.96	14.17
-65.23	12.16
-61.53	10.44
-69.13	11.48
-59.73	14.46
-65.73	15.30
-59.83	16.60
-63.13	10.65
-68.00	10.39
-62.10	12.88
-66.87	9.38
-65.70	15.52
-67.63	16.22
-71.80	19.25
-65.53	11.71
-63.50	13.35
-63.03	13.97
-68.40	9.15
-70.80	15.56
-68.30	12.83
-57.93	8.74
-64.23	6.95
-64.10	13.14
-64.66	14.67
-71.43	13.38
-60.03	6.71
-63.47	10.63
-61.27	13.53
-59.93	7.57
-56.30	16.06
-62.77	21.47
-58.90	13.63
-59.87	21.56
-59.83	17.37
-63.26	13.27
-68.17	12.72
-61.17	16.78
-64.73	9.61
-64.93	16.09
-54.03	12.71
-63.07	13.66
-63.37	19.88
-64.20	18.85
-62.50	12.87
-67.96	21.26
-67.96	20.85
-67.17	27.28
-62.33	20.50
-56.47	15.20
-70.03	18.74
-58.93	10.52
-61.87	19.06
-64.37	15.64
-56.27	18.07
-65.00	26.64
-56.70	16.01
-65.10	21.33
-63.40	14.42
-63.10	18.91
-62.26	15.49
-63.70	17.55
-62.53	16.21
-58.63	10.13
-68.13	19.27
-56.10	10.52
-62.37	21.09
-71.00	19.76
-64.66	13.39
-66.76	28.65
-71.13	17.58
-62.70	10.62
-62.90	14.58
-64.50	19.14
-68.23	16.06
-69.26	18.77
-63.33	18.01
-66.60	17.19
-58.87	16.73
-57.63	8.98
-63.90	17.03
-66.83	23.91
-62.00	20.24
-63.27	18.99
-60.86	8.61
-63.33	18.25
-68.17	20.95
-66.63	22.21
-64.67	18.52
-64.10	23.44
-65.93	18.19
-62.90	20.43
-67.40	17.87
-66.80	20.06
-70.23	21.30
-69.13	20.27
-62.33	18.70
-68.00	15.07
-63.07	12.13
-66.60	18.75
-68.63	18.30
-63.93	15.78
-72.83	25.56
-64.20	22.55
-56.33	23.20
-64.63	24.73
-64.76	21.69
-64.77	30.02
-61.77	25.86
-59.23	25.89
-64.80	26.11
-66.83	26.99
-71.30	20.96
-66.63	25.10
-58.20	23.28
-64.77	26.19
-66.97	24.52
-71.50	29.08
-66.93	23.57
-62.90	28.28
-70.03	25.23
-71.60	21.93
-58.40	27.84
-70.53	21.98
-58.73	26.15
-69.63	22.47
-58.73	25.54
-66.10	20.03
-66.60	21.56
-63.80	25.49
-66.17	33.28
-63.50	21.94
-64.87	24.71
-70.57	26.14
-66.86	34.37
-67.77	27.08
-68.50	22.06
-65.93	25.64
-64.20	30.10
-70.70	26.11
-60.63	21.53
-67.47	31.12
-65.87	31.89
-62.33	29.02
-66.50	32.50
-65.33	25.56
-67.47	30.28
-63.70	24.84
-65.73	23.48
-59.13	28.77
-67.80	22.11
-60.63	28.54
-64.27	34.37
-65.00	32.79
-64.20	23.43
-67.36	30.46
-64.10	30.16
-64.20	31.49
-64.90	32.77
-68.10	27.59
-65.43	29.26
-66.43	30.70
-70.10	29.03
-66.03	34.47
-61.10	32.11
-73.73	29.40
-65.20	26.24
-65.33	32.54
-61.20	33.06
-63.70	32.28
-60.80	40.62
-65.00	29.23
-63.20	23.12
-70.70	32.56
-58.76	27.21
-65.40	28.17
-66.23	25.48
-63.33	31.29
-70.20	25.58
-62.60	34.43
-61.23	26.42
-63.83	27.28
-67.46	35.54
-67.90	40.13
-67.93	30.53
-66.23	29.84
-77.86	35.04
-67.37	24.14
-70.47	30.52
-71.07	15.44
-64.63	27.49
-63.73	31.48
-65.33	29.60
-69.30	26.78
-62.50	33.89
-71.53	31.49
-68.30	39.20
-65.07	41.07
-64.30	26.52
-57.80	39.01
-65.50	39.13
-64.27	32.87
-69.07	34.38
-67.23	36.23
-67.60	37.28
-63.46	37.38
-66.57	34.80
-57.93	29.52
-63.57	35.43
-72.67	34.50
-67.20	39.00
-70.03	36.38
-71.90	39.78
-60.03	38.21
-68.27	36.31
-68.33	45.70
-71.86	37.23
-61.90	34.17
-77.60	33.11
-69.13	33.82
-72.87	38.57
-68.13	28.19
-64.37	36.04
-61.07	29.87
-64.50	37.68
-67.40	36.82
-71.97	39.55
-69.57	38.77
-68.07	43.60
-69.90	44.30
-68.83	37.27
-70.50	36.70
-68.50	38.07
-73.23	41.89
-67.43	42.88
-70.20	42.35
-66.93	42.53
-64.67	34.68
-61.17	31.06
-65.40	28.58
-74.13	37.83
-63.07	36.39
-69.93	36.11
-63.17	38.84
-68.87	41.37
-68.57	45.76
-63.00	40.32
-65.43	31.37
-62.53	35.05
-64.30	34.91
-64.20	37.57
-63.73	39.53
-72.33	38.69
-68.20	38.06
-67.10	35.09
-66.83	32.85
-60.00	33.74
-65.43	39.51
-71.97	30.68
-67.77	34.25
-67.90	33.47
-66.33	32.55
-66.27	31.19
-65.93	32.91
-61.20	38.46
-61.87	44.38
-66.63	32.93
-62.73	37.12
-64.40	42.29
-61.87	35.61
-60.23	36.32
-68.27	37.63
-60.03	34.07
-66.70	39.98
-61.13	41.14
-57.23	44.81
-62.40	33.80
-64.80	38.09
-55.37	42.97
-63.83	35.93
-67.07	35.04
-60.93	35.74
-60.53	36.07
-65.50	33.81
-64.63	32.09
-60.47	41.00
-69.13	40.71
-58.03	36.23
-64.30	35.29
-70.13	36.92
-65.43	34.07
-57.76	32.06
-60.57	28.74
-55.73	39.87
-65.17	26.91
-70.50	37.45
-61.43	24.54
-64.57	29.90
-68.50	39.45
-65.23	34.43
-68.73	37.73
-66.20	31.21
-65.60	31.54
-68.57	35.35
-59.67	30.17
-63.70	32.97
-67.37	39.79
-60.70	32.66
-65.23	41.18
-67.67	37.82
-63.46	35.39
-65.13	43.16
-58.17	37.74
-55.70	38.62
-58.97	43.21
-57.53	39.20
-59.10	39.31
-71.00	49.02
-60.67	40.82
-60.43	41.59
-58.87	43.20
-62.37	42.18
-55.17	41.35
-62.90	44.63
-61.20	46.57
-60.33	40.13
-66.03	43.96
-61.50	38.89
-63.23	40.38
-67.60	49.31
-58.47	40.82
-66.96	44.48
-64.63	36.50
-62.67	47.27
-66.57	43.05
-62.47	40.19
-65.00	41.16
-66.67	37.98
-66.97	42.22
-65.93	39.51
-58.17	38.16
-62.77	34.30
-61.93	47.27
-58.67	31.45
-66.83	37.05
-58.83	34.88
-65.96	42.72
-59.20	40.03
-57.40	37.84
-63.80	39.78
-68.27	35.91
-60.83	34.53
-67.30	31.78
-65.57	42.41
-67.37	30.79
-69.07	37.04
-63.67	39.39
-62.90	32.48
-66.46	35.11
-66.96	34.26
-67.17	32.33
-64.10	41.68
-68.87	37.35
-57.23	26.18
-71.20	29.57
-71.33	31.82
-62.90	23.60
-71.77	28.64
-69.27	33.40
-69.07	32.89
-61.73	31.99
-65.73	34.38
-62.47	33.15
-68.30	32.97
-68.33	29.61
-59.53	30.95
-68.77	31.24
-60.67	33.01
-65.20	28.25
-64.43	29.97
-60.27	34.77
-61.90	32.40
-64.17	33.13
-59.07	33.62
-60.23	38.18
-71.80	32.67
-73.63	39.15
-65.20	36.79
-64.33	37.75
-68.57	27.11
-65.53	27.26
-68.23	36.26
-64.57	32.96
-61.77	34.85
-62.43	25.08
-61.23	40.60
-62.93	33.40
-66.63	32.93
-63.33	31.25
-67.17	37.94
-64.10	31.50
-71.03	26.31
-66.43	23.61
-70.93	36.43
-65.90	27.04
-66.80	32.54
-71.83	30.53
-70.13	26.49
-69.77	32.93
-67.17	16.87
-71.40	32.47
-71.63	25.63
-69.40	29.00
-67.90	29.07
-69.63	28.92
-62.90	29.51
-66.60	28.68
-69.83	32.46
-71.10	34.57
-73.20	26.68
-69.13	32.11
-65.10	31.18
-62.36	29.95
-64.80	36.19
-66.13	27.13
-68.46	36.14
-71.37	35.48
-64.93	30.64
-70.40	29.09
-67.57	25.52
-62.50	26.30
-74.67	32.66
-71.53	32.32
-74.10	30.92
-68.13	34.59
-70.70	32.67
-69.37	33.34
-79.30	29.48
-71.57	36.16
-67.33	35.27
-70.40	33.07
-70.63	34.22
-66.20	27.97
-68.67	29.84
-71.90	34.49
-68.43	33.54
-69.00	30.33
-67.93	32.88
-71.90	32.80
-65.30	28.63
-70.87	24.81
-65.53	39.46
-72.46	28.60
-75.20	27.90
-67.76	30.30
-73.23	30.76
-71.37	32.27
-71.00	32.24
-72.26	29.77
-74.70	34.64
-70.53	34.21
-65.73	32.17
